iter	Passed	Remaining
802	2562	628
803	2565	625
804	2569	622
805	2572	619
806	2575	615
807	2578	612
808	2581	609
809	2584	606
810	2587	603
811	2590	599
812	2593	596
813	2597	593
814	2600	590
815	2603	587
816	2607	583
817	2609	580
818	2613	577
819	2616	574
820	2619	571
821	2622	567
822	2625	564
823	2628	561
824	2631	558
825	2634	555
826	2637	551
827	2640	548
828	2643	545
829	2647	542
830	2650	538
831	2653	535
832	2656	532
833	2659	529
834	2662	526
835	2665	522
836	2668	519
837	2671	516
838	2675	513
839	2678	510
840	2681	506
841	2684	503
842	2687	500
843	2690	497
844	2693	494
845	2697	490
846	2700	487
847	2703	484
848	2706	481
849	2709	478
850	2712	474
851	2715	471
852	2718	468
853	2721	465
854	2724	462
855	2727	458
856	2730	455
857	2734	452
858	2737	449
859	2740	446
860	2743	442
861	2746	439
862	2748	436
863	2752	433
864	2755	430
865	2758	426
866	2761	423
867	2764	420
868	2767	417
869	2771	414
870	2774	410
871	2777	407
872	2780	404
873	2783	401
874	2786	398
875	2790	394
876	2793	391
877	2796	388
878	2799	385
879	2802	382
880	2805	378
881	2808	375
882	2811	372
883	2815	369
884	2818	366
885	2821	363
886	2824	359
887	2827	356
888	2831	353
889	2834	350
890	2837	347
891	2840	343
892	2843	340
893	2846	337
894	2849	334
895	2852	331
896	2855	327
897	2858	324
898	2861	321
899	2864	318
900	2867	315
901	2870	311
902	2874	308
903	2878	305
904	2881	302
905	2884	299
906	2887	296
907	2891	292
908	2894	289
909	2897	286
910	2900	283
911	2903	280
912	2906	276
913	2909	273
914	2912	270
915	2915	267
916	2918	264
917	2921	260
918	2924	257
919	2927	254
920	2930	251
921	2933	248
922	2937	245
923	2940	241
924	2943	238
925	2946	235
926	2949	232
927	2952	229
928	2955	225
929	2958	222
930	2961	219
931	2964	216
932	2967	213
933	2970	209
934	2973	206
935	2976	203
936	2980	200
937	2984	197
938	2987	194
939	2990	190
940	2993	187
941	2997	184
942	3000	181
943	3003	178
944	3006	174
945	3009	171
946	3013	168
947	3016	165
948	3019	162
949	3022	159
950	3026	155
951	3029	152
952	3032	149
953	3035	146
954	3038	143
955	3041	140
956	3045	136
957	3048	133
958	3051	130
959	3054	127
960	3058	124
961	3061	120
962	3064	117
963	3067	114
964	3071	111
965	3074	108
966	3077	105
967	3080	101
968	3083	98
969	3087	95
970	3090	92
971	3093	89
972	3096	85
973	3099	82
974	3102	79
975	3105	76
976	3108	73
977	3111	70
978	3115	66
979	3118	63
980	3122	60
981	3125	57
982	3127	54
983	3130	50
984	3134	47
985	3137	44
986	3140	41
987	3143	38
988	3146	34
989	3149	31
990	3153	28
991	3156	25
992	3159	22
993	3162	19
994	3165	15
995	3168	12
996	3171	9
997	3174	6
998	3178	3
999	3182	0
